SET_NUM,SET_NAME,RELEASE_YEAR,THEME_ID,NUM_PARTS,SET_IMG_URL,SET_URL,LAST_MODIFIED_DT
8389-1,M. Schumacher and R. Barrichello,2004,114,24,https://cdn.rebrickable.com/media/sets/8389-1/120357.jpg,https://rebrickable.com/sets/8389-1/m-schumacher-and-r-barrichello/,2011-08-11 14:00:00.000
839-1,"Red Roof Bricks Parts Pack, 33 Degree",1980,473,42,https://cdn.rebrickable.com/media/sets/839-1/16856.jpg,https://rebrickable.com/sets/839-1/red-roof-bricks-parts-pack-33-degree/,2011-09-25 14:00:00.000
8396-1,Soldier's Arsenal,2009,153,17,https://cdn.rebrickable.com/media/sets/8396-1/124330.jpg,https://rebrickable.com/sets/8396-1/soldiers-arsenal/,2014-03-02 12:27:07.217
8397-1,Pirate Survival,2009,153,16,https://cdn.rebrickable.com/media/sets/8397-1/124298.jpg,https://rebrickable.com/sets/8397-1/pirate-survival/,2014-02-21 09:43:10.580
8398-1,BBQ Stand,2009,52,22,https://cdn.rebrickable.com/media/sets/8398-1/12919.jpg,https://rebrickable.com/sets/8398-1/bbq-stand/,2020-05-13 22:15:53.423
8399-1,K-9 Bot,2009,141,22,https://cdn.rebrickable.com/media/sets/8399-1/124331.jpg,https://rebrickable.com/sets/8399-1/k-9-bot/,2016-04-23 11:53:05.959
8400-1,Space Speeder,2009,141,14,https://cdn.rebrickable.com/media/sets/8400-1/13207.jpg,https://rebrickable.com/sets/8400-1/space-speeder/,2016-04-23 11:53:06.506
840-1,"Baseplate, Green",1980,473,1,https://cdn.rebrickable.com/media/sets/840-1/16857.jpg,https://rebrickable.com/sets/840-1/baseplate-green/,2011-09-25 14:00:00.000
8401-1,City Minifigure Collection,2009,52,60,https://cdn.rebrickable.com/media/sets/8401-1/9078.jpg,https://rebrickable.com/sets/8401-1/city-minifigure-collection/,2021-07-05 22:41:54.138
8402-1,Sports Car,2009,63,68,https://cdn.rebrickable.com/media/sets/8402-1/124358.jpg,https://rebrickable.com/sets/8402-1/sports-car/,2016-04-23 11:52:57.095
8403-1,City House,2010,52,385,https://cdn.rebrickable.com/media/sets/8403-1/77577.jpg,https://rebrickable.com/sets/8403-1/city-house/,2020-05-19 23:01:02.557
8404-1,Public Transport,2010,63,864,https://cdn.rebrickable.com/media/sets/8404-1/2009.jpg,https://rebrickable.com/sets/8404-1/public-transport/,2021-07-20 21:33:30.282
840716184966-1,The LEGO Ninjago Movie Sensei Wu Backpack,2017,777,0,https://cdn.rebrickable.com/media/sets/840716184966-1/138632.jpg,https://rebrickable.com/sets/840716184966-1/the-lego-ninjago-movie-sensei-wu-backpack/,2025-03-28 17:33:49.885
840716192411-1,The LEGO Batman Movie 3D Backpack,2019,777,0,https://cdn.rebrickable.com/media/sets/840716192411-1/138589.jpg,https://rebrickable.com/sets/840716192411-1/the-lego-batman-movie-3d-backpack/,2025-03-28 17:45:34.797
8408-1,Desert Ranger,1996,1,289,https://cdn.rebrickable.com/media/sets/8408-1/13099.jpg,https://rebrickable.com/sets/8408-1/desert-ranger/,2016-04-23 11:50:11.115
8409-1,Spidermonkey,2010,270,22,https://cdn.rebrickable.com/media/sets/8409-1/8196.jpg,https://rebrickable.com/sets/8409-1/spidermonkey/,2014-01-22 04:24:46.671
8410-1,Swampfire,2010,270,23,https://cdn.rebrickable.com/media/sets/8410-1/7390.jpg,https://rebrickable.com/sets/8410-1/swampfire/,2014-01-22 04:21:06.882
841-1,"Baseplates, Green and Yellow",1980,473,2,https://cdn.rebrickable.com/media/sets/841-1/10803.jpg,https://rebrickable.com/sets/841-1/baseplates-green-and-yellow/,2026-02-01 22:26:47.066
8411-1,ChromaStone,2010,270,22,https://cdn.rebrickable.com/media/sets/8411-1/16880.jpg,https://rebrickable.com/sets/8411-1/chromastone/,2014-01-22 04:28:30.523
8412-1,Nighthawk / Sky Wasp,1995,1,287,https://cdn.rebrickable.com/media/sets/8412-1/16698.jpg,https://rebrickable.com/sets/8412-1/nighthawk-sky-wasp/,2015-08-28 21:05:39.936
8414-1,Mountain Rambler,1997,1,244,https://cdn.rebrickable.com/media/sets/8414-1/11959.jpg,https://rebrickable.com/sets/8414-1/mountain-rambler/,2016-08-04 14:39:54.140
8415-1,Dump Truck,2005,1,284,https://cdn.rebrickable.com/media/sets/8415-1/124361.jpg,https://rebrickable.com/sets/8415-1/dump-truck/,2016-04-23 11:45:51.489
8416-1,Forklift,2005,1,729,https://cdn.rebrickable.com/media/sets/8416-1/124360.jpg,https://rebrickable.com/sets/8416-1/forklift/,2021-02-18 09:05:58.776
8417-1,Mag Wheel Master,1998,1,315,https://cdn.rebrickable.com/media/sets/8417-1/7018.jpg,https://rebrickable.com/sets/8417-1/mag-wheel-master/,2023-06-07 02:55:24.697
8418-1,Mini Loader,2005,1,66,https://cdn.rebrickable.com/media/sets/8418-1/76590.jpg,https://rebrickable.com/sets/8418-1/mini-loader/,2011-08-11 14:00:00.000
8419-1,Excavator,2005,1,286,https://cdn.rebrickable.com/media/sets/8419-1/124349.jpg,https://rebrickable.com/sets/8419-1/excavator/,2013-12-01 19:57:43.266
8420-1,Street Bike,2005,1,506,https://cdn.rebrickable.com/media/sets/8420-1/73996.jpg,https://rebrickable.com/sets/8420-1/street-bike/,2014-01-17 16:58:59.822
842-1,"Baseplates, Red and Blue",1980,473,2,https://cdn.rebrickable.com/media/sets/842-1/8328.jpg,https://rebrickable.com/sets/842-1/baseplates-red-and-blue/,2026-02-01 22:41:17.525
8421-1,Mobile Crane,2005,1,1885,https://cdn.rebrickable.com/media/sets/8421-1/124350.jpg,https://rebrickable.com/sets/8421-1/mobile-crane/,2021-06-17 14:08:20.116
842-2,Town Plan,1969,756,798,https://cdn.rebrickable.com/media/sets/842-2/13422.jpg,https://rebrickable.com/sets/842-2/town-plan/,2024-01-08 19:54:03.165
8422-1,Circuit Shock Racer / V-Twin Super Bike,1995,1,311,https://cdn.rebrickable.com/media/sets/8422-1/74001.jpg,https://rebrickable.com/sets/8422-1/circuit-shock-racer-v-twin-super-bike/,2020-07-09 16:21:37.530
8423-1,World Grand Prix Racing Rivalry,2011,269,136,https://cdn.rebrickable.com/media/sets/8423-1/49784.jpg,https://rebrickable.com/sets/8423-1/world-grand-prix-racing-rivalry/,2016-05-29 00:34:01.281
8424-1,Mater's Spy Zone,2011,269,114,https://cdn.rebrickable.com/media/sets/8424-1/49789.jpg,https://rebrickable.com/sets/8424-1/maters-spy-zone/,2023-04-23 13:14:01.612
8425-1,Black Hawk / Sky Stormer,1996,1,469,https://cdn.rebrickable.com/media/sets/8425-1/16903.jpg,https://rebrickable.com/sets/8425-1/black-hawk-sky-stormer/,2016-08-04 15:02:25.968
8426-1,Escape at Sea,2011,269,159,https://cdn.rebrickable.com/media/sets/8426-1/48726.jpg,https://rebrickable.com/sets/8426-1/escape-at-sea/,2020-04-12 10:57:31.699
8428-1,Turbo Command Featuring CD-ROM Experience Expander,1998,1,472,https://cdn.rebrickable.com/media/sets/8428-1/1816.jpg,https://rebrickable.com/sets/8428-1/turbo-command-featuring-cd-rom-experience-expander/,2023-03-31 05:09:06.920
842869011892-1,City Police Metal Stickers,2012,501,0,https://cdn.rebrickable.com/media/sets/842869011892-1/154436.jpg,https://rebrickable.com/sets/842869011892-1/city-police-metal-stickers/,2025-04-25 19:17:59.910
